"","Site","Date","Latitude","Longitude","African penguin","Bait fish - sardine","Bank steenbras","Barehead goby","Barred fingerfin","Beaked sandfish","Biscuit skate","Black seacatfish","Blacktail","Blue hottentot","Bluefin gurnard","Broadnose sevengill shark","Bronze whaler","Cape cormorant","Cape fur seal","Cape horse mackerel","Cape rock crab","Cape sole","Cape urchin","Carpenter","Chokka squid","Common octopus","Dark shyshark","Eagle ray","Eunicid worm","Euphausiids","Evileye blaasop","False plume anemone","Fanworm","Fat plough shell","Feathery sea pen","Fransmadam","Galjoen","Geelbek","Giant yellowtail","Helmet shell","Hermit crab","Hottentot","Janbruin","Jellyfish","Jutjaw","Larval fish","Leopard catshark","Lesser guitarfish","Longsnout pipefish","Masked crab","Masked crab sp2","Panga","Papery burnupena","Puffadder shyshark","Purple-lipped dog whelk","Pyjama shark","Red roman","Red sea star","Red steenbras","Red stumpnose","Redfingers","Root-mouthed jellyfish","Sandflat crab","Sea anemone","Sea cucumber","Sea slug","Sea star","Sea urchin","Shad","Short-tail stingray","Shortnose spurdog","Silver kob","Sixgill hagfish","Slender baardman","Smooth-hound shark","Smooth hammerhead shark","Snail","Snakelet","Soupfin shark","Spearnose skate","Spiny starfish","Spinynose horsefish","Spotted-gully shark","St. Joseph shark","Steentjie","Strepie","Super klipfish","Three-spotted swimming crab","Tick shell","Tiger catshark","Topshell","Turban shell","Twotone fingerfin","Unknown fish","West coast rock lobster","White seacatfish","White stumpnose","Yellowback fusilier","Yellowbelly rock cod","Zebra"
"180","A10B","16-07-29",-34.4142,19.1115,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0
"181","A11","16-07-29",-34.4399,19.1461,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"183","A12","16-07-29",-34.43691,19.1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
"182","A12","17-04-11",-34.43691,19.1419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
"185","A13","16-07-29",-34.43293,19.14573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,19,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0
"184","A13","17-07-04",-34.43293,19.14573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,18,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0
"186","A13","18-04-05",-34.43293,19.14573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"188","A14","17-04-11",-34.429873,19.15054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0
"187","A14","17-07-04",-34.429873,19.15054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"189","A15","17-07-03",-34.43239,19.15821,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,11,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
